model,category_accuracy,category_macro_f1,category_weighted_f1,urgency_accuracy,urgency_macro_f1,urgency_weighted_f1,condition
tfidf_logistic_regression,0.937037037037037,0.9353222303616728,0.9376682361688352,0.5703703703703704,0.5562564548365766,0.573287729474342,clean
tfidf_logistic_regression,0.9333333333333333,0.931400485906969,0.934087251849188,0.5925925925925926,0.57833081950729,0.596696273951176,noisy
distilbert_transformer,0.9444444444444444,0.9504646637771575,0.9461671803929069,0.44814814814814813,0.30988098005208986,0.38121520472715736,clean
distilbert_transformer,0.9222222222222223,0.9263023910060614,0.9229925618809505,0.4222222222222222,0.27959000448900195,0.3448077210833458,noisy
