model,category_accuracy,category_macro_f1,category_weighted_f1,urgency_accuracy,urgency_macro_f1,urgency_weighted_f1
majority_baseline,0.16666666666666666,0.04081632653061224,0.047619047619047616,0.4185185185185185,0.19669277632724105,0.24695870805531378
tfidf_logistic_regression,0.937037037037037,0.9353222303616728,0.9376682361688352,0.5703703703703704,0.5562564548365766,0.573287729474342
distilbert_transformer,0.9444444444444444,0.9504646637771575,0.9461671803929069,0.44814814814814813,0.30988098005208986,0.38121520472715736
